City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Brae,GB,60.3964,-1.353,40.91,73,98,32.66,overcast clouds
274,Marsabit,KE,2.3284,37.9899,69.8,30,1,9.57,clear sky
275,Buala,SB,-8.145,159.5921,80.69,85,100,8.3,moderate rain
276,Maues,BR,-3.3836,-57.7186,73.96,98,100,2.33,light rain
277,Talnakh,RU,69.4865,88.3972,-2.79,96,100,11.92,overcast clouds
278,Vallenar,CL,-28.5708,-70.7581,70.07,63,61,3.98,broken clouds
279,Tiznit,MA,29.5833,-9.5,62.24,27,3,10.71,clear sky
280,Santa Cruz,BO,-17.8,-63.1667,80.06,61,40,3.44,scattered clouds
281,Port-Gentil,GA,-0.7193,8.7815,80.51,81,100,10.89,light rain
282,Aktash,RU,50.3,87.7333,-14.1,92,100,3.15,overcast clouds
283,Balingasay,PH,16.3573,119.8564,79.9,68,71,15.46,broken clouds
284,Reconquista,AR,-29.15,-59.65,74.48,34,0,7.96,clear sky
285,Katobu,ID,-4.9408,122.5276,80.64,82,100,3.0,overcast clouds
286,Snezhnogorsk,RU,69.1933,33.2531,19.18,96,50,12.46,scattered clouds
287,Seydi,TM,39.4816,62.9137,39.11,48,96,5.7,overcast clouds
288,Robertsport,LR,6.7533,-11.3686,79.95,85,6,5.21,clear sky
289,Santiago Del Estero,AR,-27.7951,-64.2615,77.81,34,5,4.16,clear sky
290,Lethem,GY,3.3803,-59.7968,83.21,54,100,7.27,overcast clouds
291,Kaseda,JP,31.4167,130.3167,43.83,79,100,2.73,overcast clouds
292,Torbay,CA,47.6666,-52.7314,31.75,91,100,20.71,overcast clouds
293,Osakarovka,KZ,50.565,72.5692,-0.76,98,52,6.4,broken clouds
294,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,21.79,74,75,0.0,broken clouds
295,Ust-Tsilma,RU,65.441,52.1498,10.04,92,74,9.98,broken clouds
296,Muros,ES,42.7762,-9.0603,52.3,58,0,5.73,clear sky
297,Esso,RU,55.9333,158.7,13.3,93,99,4.54,overcast clouds
298,Kaitangata,NZ,-46.2817,169.8464,59.83,86,100,11.01,light rain
299,Dnestrovsc,MD,46.6222,29.9133,30.56,82,19,8.12,few clouds
300,Magaria,NE,12.9983,8.9099,65.32,10,7,10.0,clear sky
301,Ternate,ID,0.8,127.4,81.54,78,100,6.24,overcast clouds
302,Antofagasta,CL,-23.65,-70.4,65.86,81,3,5.35,clear sky
303,Seoul,KR,37.5683,126.9778,29.64,84,20,2.3,few clouds
304,Rio Grande,BR,-32.035,-52.0986,66.94,67,0,8.32,clear sky
305,Mayo,US,38.8876,-76.5119,39.24,56,0,5.75,clear sky
306,Saint George,US,37.1041,-113.5841,68.47,12,0,6.91,clear sky
307,Bagdarin,RU,54.4333,113.6,-0.02,97,100,1.41,overcast clouds
308,Bonthe,SL,7.5264,-12.505,76.69,85,11,3.11,few clouds
309,Salalah,OM,17.0151,54.0924,63.77,29,3,15.32,clear sky
310,Cairns,AU,-16.9167,145.7667,90.1,65,40,6.91,scattered clouds
311,Laguna,US,38.421,-121.4238,73.22,51,0,4.61,clear sky
312,Poya,NC,-21.35,165.15,81.41,88,93,13.4,overcast clouds
313,Faya,SA,18.3851,42.4509,53.71,81,4,3.69,clear sky
